GESTION;2018;;;;;;;
TYPE BUDGET;Comptes de concours financiers;;;;;;;
;;;;; Données;;;
Mission;Programme;Action;Catégorie;Libellé catégorie;AELF 2017; AEPLF;CPLF 2017;CPPLF
Avances à divers services de l'État ou organismes gérant des services publics;821;01;71;Prêts et avances;16 000 000 000;16 000 000 000;16 000 000 000;16 000 000 000
Avances à divers services de l'État ou organismes gérant des services publics;823;01;71;Prêts et avances;346 600 000;476 300 000;346 600 000;476 300 000
Avances à divers services de l'État ou organismes gérant des services publics;824;01;71;Prêts et avances;102 602 000;87 240 638;102 602 000;87 240 638
Avances à divers services de l'État ou organismes gérant des services publics;825;01;71;Prêts et avances;15 000 000;15 000 000;15 000 000;15 000 000
Avances à l'audiovisuel public;841;01;71;Prêts et avances;2 597 748 917;2 567 907 594;2 597 748 917;2 567 907 594
Avances à l'audiovisuel public;842;01;71;Prêts et avances;280 011 969;285 372 563;280 011 969;285 372 563
Avances à l'audiovisuel public;843;01;71;Prêts et avances;625 112 736;608 791 670;625 112 736;608 791 670
Avances à l'audiovisuel public;844;01;71;Prêts et avances;256 811 872;263 162 750;256 811 872;263 162 750
Avances à l'audiovisuel public;845;01;71;Prêts et avances;90 869 000;90 411 142;90 869 000;90 411 142
Avances à l'audiovisuel public;847;01;71;Prêts et avances;80 008 935;78 974 350;80 008 935;78 974 350
Avances aux collectivités territoriales;832;01;71;Prêts et avances;6 000 000;6 000 000;6 000 000;6 000 000
Avances aux collectivités territoriales;833;01;71;Prêts et avances;97 902 806 692;99 232 819 164;97 902 806 692;99 232 819 164
Avances aux collectivités territoriales;833;02;71;Prêts et avances;5 877 914 822;5 902 690 811;5 877 914 822;5 902 690 811
Avances aux collectivités territoriales;833;03;71;Prêts et avances;951 202 755;959 261 559;951 202 755;959 261 559
Avances aux collectivités territoriales;833;04;71;Prêts et avances;957 283 641;963 657 402;957 283 641;963 657 402
Prêts à des États étrangers;851;01;71;Prêts et avances;300 000 000;900 000 000;300 000 000;453 100 000
Prêts à des États étrangers;852;01;71;Prêts et avances;148 000 000;268 450 000;148 000 000;268 450 000
Prêts à des États étrangers;853;01;71;Prêts et avances;1 552 000 000;545 000 000;250 000 000;1 033 000 000
Prêts et avances à des particuliers ou à des organismes privés;861;04;71;Prêts et avances;450 000;250 000;450 000;250 000
Prêts et avances à des particuliers ou à des organismes privés;862;01;71;Prêts et avances;100 000 000;100 000 000;100 000 000;100 000 000
Prêts et avances à des particuliers ou à des organismes privés;863;03;71;Prêts et avances;5 000 000;;5 000 000;
;;;;;;;;